id,name,host_id,host_name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
1337769,Home in South Yunderup · ★4.64 · 5 bedrooms · 5 beds · 2 baths,7255000,Geoff,MURRAY,-32.58354,115.7824,Entire home,Entire home/apt,10,5.0,5.0,2,279,91,4.64,0.82
2422205,Guesthouse in Broome · ★4.90 · 2 bedrooms · 2 beds · 2 baths,12269875,Trish,BROOME,-17.95405,122.2315,Entire guesthouse,Entire home/apt,4,2.0,2.0,2,100,134,4.9,1.2
423227,Home in Mount Lawley · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,1724505,Linda,VINCENT,-31.93955,115.88106,Private room in home,Private room,2,,1.0,2,276,59,4.91,0.44
2491680,Tiny home in Greenough South · ★4.72 · 1 bedroom · 1 bed · 1 bath,12752935,Ian,GREATER GERALDTON,-28.98557,114.75888,Tiny home,Entire home/apt,2,1.0,1.0,1,324,417,4.72,3.74
2521656,Home in Belmont · ★4.82 · 1 bedroom · 2 beds · 1 shared bath,12910068,Christine,BELMONT,-31.95393,115.93905,Private room in home,Private room,2,,2.0,1,0,218,4.82,2.2
1378479,Guesthouse in Sunnyside · ★4.90 · 1 bedroom · 4 beds · 1 bath,7467101,Kathleen,BRIDGETOWN-GREENBUSHES,-34.0337,116.23242,Entire guesthouse,Entire home/apt,2,1.0,4.0,1,70,145,4.9,1.25
1382863,Camper/RV in Burnside · ★4.81 · 1 bedroom · 1 bed · 2 shared baths,4206094,Do,AUGUSTA-MARGARET RIVER,-33.91726,115.04256,Private room in camper/rv,Private room,2,1.0,1.0,4,201,221,4.81,1.91
429588,Serviced apartment in East Perth · ★4.17 · 2 bedrooms · 3 beds · 1 bath,2091272,Brenda,PERTH,-31.958879,115.873207,Entire serviced apartment,Entire home/apt,4,2.0,3.0,6,0,27,4.17,0.26
454941,Home in Beckenham · ★4.45 · 1 bedroom · 1 bed · 2 shared baths,1548293,Yan,GOSNELLS,-32.03238,115.958,Private room in home,Private room,1,,1.0,7,353,11,4.45,0.09
1410839,Home in East Victoria Park · ★4.67 · 3 bedrooms · 4 beds · 1 bath,7606780,Alex And Edith,VICTORIA PARK,-31.99797,115.89986,Entire home,Entire home/apt,6,3.0,4.0,2,263,249,4.67,3.22
2523049,Townhouse in Perth · ★4.89 · 1 bedroom · 1 bed · 1 private bath,11347140,Paul,VINCENT,-31.94307,115.87782,Private room in townhouse,Private room,2,,1.0,2,0,56,4.89,0.5
541072,Home in Prevelly · ★4.85 · 3 bedrooms · 5 beds · 2 baths,2659891,Deirdre And Peter,AUGUSTA-MARGARET RIVER,-33.97929,114.99392,Entire home,Entire home/apt,6,3.0,5.0,2,136,41,4.85,0.35
2526541,Guesthouse in Merredin · ★4.90 · 2 bedrooms · 2 beds · 1 bath,12937817,Roy,MERREDIN,-31.48798,118.25977,Entire guesthouse,Entire home/apt,4,2.0,2.0,1,304,289,4.9,2.72
2527224,Home in Shenton Park · ★4.82 · 2 bedrooms · 2 beds · 1.5 baths,4491206,Shelley,SUBIACO,-31.95631,115.8083,Entire home,Entire home/apt,3,2.0,2.0,6,20,72,4.82,0.64
1423436,Home in Augusta · ★4.86 · 3 bedrooms · 6 beds · 1.5 baths,7661339,Rachel,AUGUSTA-MARGARET RIVER,-34.30835,115.15683,Entire home,Entire home/apt,6,3.0,6.0,2,339,22,4.86,0.19
1521619,Home in Maylands · ★4.87 · 2 bedrooms · 2 beds · 1 bath,121587,Andrea,BAYSWATER,-31.93454,115.88594,Entire home,Entire home/apt,4,2.0,2.0,2,184,157,4.87,1.77
552762,Home in Rivervale · ★4.93 · 1 bedroom · 1 bed · 1 bath,2716604,Michele,BELMONT,-31.95872,115.90648,Private room in home,Private room,2,,1.0,2,273,147,4.93,1.1
1527235,Home in Manning · ★4.76 · 1 bedroom · 1 bed · 1 bath,8147988,Sharon,SOUTH PERTH,-32.00673,115.87389,Private room in home,Private room,1,,1.0,1,337,36,4.76,0.3
1596181,Home in Halls Head · ★4.86 · 4 bedrooms · 7 beds · 2 baths,8511059,Robert,MANDURAH,-32.54742,115.68546,Entire home,Entire home/apt,8,4.0,7.0,2,246,7,4.86,1.37
